stack,lab,Time,Nuclear_Label,Cell_Label,Branch,SmallBranch,Lineage
stack_2,001_001,1,1,5,1_0,000000000000001,1
stack_2,091_025,91,25,2,1_0,00000000001_0_0,1
stack_2,090_027,90,27,2,1_0,00000000001_0_0,1
stack_2,089_031,89,31,2,1_0,00000000001_0_0,1
stack_2,088_029,88,29,2,1_0,00000000001_0_0,1
stack_2,087_022,87,22,2,1_0,00000000001_0_0,1
stack_2,086_020,86,20,5,1_0,00000000001_0_0,1
stack_2,085_032,85,32,5,1_0,00000000001_0_0,1
stack_2,084_031,84,31,5,1_0,00000000001_0_0,1
stack_2,083_025,83,25,5,1_0,00000000001_0_0,1
stack_2,082_030,82,30,4,1_0,00000000001_0_0,1
stack_2,081_032,81,32,4,1_0,00000000001_0_0,1
stack_2,080_032,80,32,4,1_0,00000000001_0_0,1
stack_2,079_032,79,32,6,1_0,00000000001_0_0,1
stack_2,078_032,78,32,4,1_0,00000000001_0_0,1
stack_2,077_031,77,31,5,1_0,00000000001_0_0,1
stack_2,076_025,76,25,5,1_0,00000000001_0_0,1
stack_2,075_032,75,32,4,1_0,00000000001_0_0,1
stack_2,074_030,74,30,2,1_0,00000000001_0_0,1
stack_2,073_028,73,28,2,1_0,00000000001_0_0,1
stack_2,072_026,72,26,3,1_0,00000000001_0_0,1
stack_2,071_029,71,29,12,1_0,00000000001_0_0,1
stack_2,070_018,70,18,12,1_0,0000000000001_0,1
stack_2,069_003,69,3,12,1_0,0000000000001_0,1
stack_2,068_003,68,3,11,1_0,0000000000001_0,1
stack_2,067_004,67,4,7,1_0,0000000000001_0,1
stack_2,066_010,66,10,7,1_0,0000000000001_0,1
stack_2,065_009,65,9,6,1_0,0000000000001_0,1
stack_2,092_029,92,29,2,1_0,00000000001_0_0,1
stack_2,094_025,94,25,2,1_0,00000000001_0_0,1
stack_2,095_006,95,6,2,1_0,00000000001_0_0,1
stack_2,096_018,96,18,2,1_0,00000000001_0_0,1
stack_2,124_024,124,24,28,1_0,00000000001_0_0,1
stack_2,123_020,123,20,18,1_0,00000000001_0_0,1
stack_2,122_020,122,20,13,1_0,00000000001_0_0,1
stack_2,121_013,121,13,17,1_0,00000000001_0_0,1
stack_2,120_015,120,15,17,1_0,00000000001_0_0,1
stack_2,119_013,119,13,14,1_0,00000000001_0_0,1
stack_2,118_006,118,6,13,1_0,00000000001_0_0,1
stack_2,117_012,117,12,15,1_0,00000000001_0_0,1
stack_2,116_019,116,19,17,1_0,00000000001_0_0,1
stack_2,115_009,115,9,14,1_0,00000000001_0_0,1
stack_2,114_012,114,12,14,1_0,00000000001_0_0,1
stack_2,113_008,113,8,11,1_0,00000000001_0_0,1
stack_2,112_010,112,10,13,1_0,00000000001_0_0,1
stack_2,064_004,64,4,5,1_0,0000000000001_0,1
stack_2,111_014,111,14,12,1_0,00000000001_0_0,1
stack_2,109_024,109,24,8,1_0,00000000001_0_0,1
stack_2,108_020,108,20,5,1_0,00000000001_0_0,1
stack_2,107_020,107,20,7,1_0,00000000001_0_0,1
